Original URL,Migrated URL,AOE Approval Date,Customer Approval Date,Notes
https://www.vyepti.com/ [close popup],https://main--lundbeck-vyepti--aemdemos.aem.page/,,,
"https://www.vyepti.com/ [choose ""Yep""]",https://main--lundbeck-vyepti--aemdemos.aem.page/index-y,,,
"https://www.vyepti.com/ [choose ""Nope""]",https://main--lundbeck-vyepti--aemdemos.aem.page/index-n,,,
https://www.vyepti.com/could-vyepti-be-right-for-you,https://main--lundbeck-vyepti--aemdemos.aem.page/could-vyepti-be-right-for-you,,,
https://www.vyepti.com/doctor-discussion-guide,https://main--lundbeck-vyepti--aemdemos.aem.page/doctor-discussion-guide,,,
https://www.vyepti.com/downloadable-resources,https://main--lundbeck-vyepti--aemdemos.aem.page/downloadable-resources,,,
https://www.vyepti.com/financial-assistance,https://main--lundbeck-vyepti--aemdemos.aem.page/financial-assistance,,,
https://www.vyepti.com/home,redirect to /,,,
https://www.vyepti.com/homepage-campaign-orphan,https://main--lundbeck-vyepti--aemdemos.aem.page/homepage-campaign-orphan,,,
https://www.vyepti.com/how-vyepti-works,https://main--lundbeck-vyepti--aemdemos.aem.page/how-vyepti-works,,,
https://www.vyepti.com/nurse-support,https://main--lundbeck-vyepti--aemdemos.aem.page/nurse-support,,,
https://www.vyepti.com/real-life-impact,redirect to /vyepti-study-results,,,
https://www.vyepti.com/real-patient-stories,https://main--lundbeck-vyepti--aemdemos.aem.page/real-patient-stories,,,
https://www.vyepti.com/search-results,https://main--lundbeck-vyepti--aemdemos.aem.page/search-results,,,
https://www.vyepti.com/share-your-migraine-story,https://main--lundbeck-vyepti--aemdemos.aem.page/share-your-migraine-story,,,(Merkle will finish form)
https://www.vyepti.com/site-map,https://main--lundbeck-vyepti--aemdemos.aem.page/site-map,,,
https://www.vyepti.com/stay-connected,https://main--lundbeck-vyepti--aemdemos.aem.page/stay-connected,,,(Merkle will finish form)
https://www.vyepti.com/tv-concert-commercial,https://main--lundbeck-vyepti--aemdemos.aem.page/tv-concert-commercial,,,
https://www.vyepti.com/unprescribed-video-thank-you,https://main--lundbeck-vyepti--aemdemos.aem.page/video-thank-you,,,
https://www.vyepti.com/vyepti-faq,https://main--lundbeck-vyepti--aemdemos.aem.page/vyepti-faq,,,
https://www.vyepti.com/vyepti-insurance-coverage,https://main--lundbeck-vyepti--aemdemos.aem.page/vyepti-insurance-coverage,,,
https://www.vyepti.com/vyepti-locator,https://main--lundbeck-vyepti--aemdemos.aem.page/vyepti-locator,,,(Merkle will finish form)
https://www.vyepti.com/vyepti-mvp-enrollment,https://main--lundbeck-vyepti--aemdemos.aem.page/vyepti-mvp-enrollment,,,(Merkle will finish form)
https://www.vyepti.com/vyepti-side-effects,https://main--lundbeck-vyepti--aemdemos.aem.page/vyepti-side-effects,,,
https://www.vyepti.com/vyepti-study-results,https://main--lundbeck-vyepti--aemdemos.aem.page/vyepti-study-results,,,
https://www.vyepti.com/what-to-expect,https://main--lundbeck-vyepti--aemdemos.aem.page/what-to-expect,,,
https://www.vyepti.com/why-iv-treatment,https://main--lundbeck-vyepti--aemdemos.aem.page/why-iv-treatment,,,
https://www.vyepti.com/404,https://main--lundbeck-vyepti--aemdemos.aem.page/404,,,
https://www.vyepti.com/prescribed-thank-you,https://main--lundbeck-vyepti--aemdemos.aem.page/prescriped-thank-you,,,
